feature,transformer_mood_100e,transformer_mood_emphasis_ft20,transformer_no_mood_100e
mean_absolute_interval,0.10375044248157356,0.17552509514404935,5.580121625494662e-31
mean_note_duration,0.2911479888753733,0.11512717871410803,2.027486985032848e-31
mean_pitch,0.06120651017403162,0.12023915212621866,1.2929926801342856e-29
mean_velocity,0.7120779478842705,0.6705712001801188,0.0
note_density,0.23971140617061623,0.19530316242802187,5.585923803012498e-31
pitch_class_entropy,0.20588818366748812,0.30405360980152596,3.1142325577335526e-30
pitch_range,0.10421592093863344,0.20027325515199818,0.0
pitch_std,0.07987931317024781,0.18206785106413492,0.0
polyphony_rate,0.10040522325141582,0.15416805233059577,7.399083267901694e-31
tempo_bpm,0.9012027740985579,0.9035401815908131,1.5965730842577442e-30
velocity_std,0.24708822898906288,0.40235687960132166,7.3843280275125e-33
